date,region,price
2023-03-13,PADD 1,3.317
2023-03-13,PADD 2,3.28
2023-03-13,PADD 3,3.108
2023-03-13,PADD 4,3.73
2023-03-13,PADD 5,4.019
2023-03-20,PADD 1,3.33
2023-03-20,PADD 2,3.225
2023-03-20,PADD 3,3.056
2023-03-20,PADD 4,3.631
2023-03-20,PADD 5,3.993
2023-03-27,PADD 1,3.312
2023-03-27,PADD 2,3.19
2023-03-27,PADD 3,3.089
2023-03-27,PADD 4,3.537
2023-03-27,PADD 5,4.007
2023-04-03,PADD 1,3.367
2023-04-03,PADD 2,3.333
2023-04-03,PADD 3,3.142
2023-04-03,PADD 4,3.465
2023-04-03,PADD 5,4.056
2023-04-10,PADD 1,3.481
2023-04-10,PADD 2,3.461
2023-04-10,PADD 3,3.25
2023-04-10,PADD 4,3.438
2023-04-10,PADD 5,4.133
2023-04-17,PADD 1,3.521
2023-04-17,PADD 2,3.527
2023-04-17,PADD 3,3.327
2023-04-17,PADD 4,3.524
2023-04-17,PADD 5,4.217
2023-04-24,PADD 1,3.548
2023-04-24,PADD 2,3.484
2023-04-24,PADD 3,3.25
2023-04-24,PADD 4,3.547
2023-04-24,PADD 5,4.266
2023-05-01,PADD 1,3.487
2023-05-01,PADD 2,3.403
2023-05-01,PADD 3,3.162
2023-05-01,PADD 4,3.534
2023-05-01,PADD 5,4.297
2023-05-08,PADD 1,3.418
2023-05-08,PADD 2,3.309
2023-05-08,PADD 3,3.076
2023-05-08,PADD 4,3.538
2023-05-08,PADD 5,4.285
2023-05-15,PADD 1,3.379
2023-05-15,PADD 2,3.371
2023-05-15,PADD 3,3.089
2023-05-15,PADD 4,3.518
2023-05-15,PADD 5,4.291
2023-05-22,PADD 1,3.354
2023-05-22,PADD 2,3.399
2023-05-22,PADD 3,3.069
2023-05-22,PADD 4,3.579
2023-05-22,PADD 5,4.297
2023-05-29,PADD 1,3.373
2023-05-29,PADD 2,3.413
2023-05-29,PADD 3,3.139
2023-05-29,PADD 4,3.622
2023-05-29,PADD 5,4.323
2023-06-05,PADD 1,3.361
2023-06-05,PADD 2,3.361
2023-06-05,PADD 3,3.096
2023-06-05,PADD 4,3.654
2023-06-05,PADD 5,4.319
2023-06-12,PADD 1,3.401
2023-06-12,PADD 2,3.439
2023-06-12,PADD 3,3.15
2023-06-12,PADD 4,3.707
2023-06-12,PADD 5,4.417
2023-06-19,PADD 1,3.374
2023-06-19,PADD 2,3.39
2023-06-19,PADD 3,3.129
2023-06-19,PADD 4,3.721
2023-06-19,PADD 5,4.461
2023-06-26,PADD 1,3.353
2023-06-26,PADD 2,3.362
2023-06-26,PADD 3,3.179
2023-06-26,PADD 4,3.734
2023-06-26,PADD 5,4.538
2023-07-03,PADD 1,3.298
2023-07-03,PADD 2,3.308
2023-07-03,PADD 3,3.104
2023-07-03,PADD 4,3.79
2023-07-03,PADD 5,4.529
2023-07-10,PADD 1,3.377
2023-07-10,PADD 2,3.285
2023-07-10,PADD 3,3.138
2023-07-10,PADD 4,3.748
2023-07-10,PADD 5,4.509
2023-07-17,PADD 1,3.371
2023-07-17,PADD 2,3.343
2023-07-17,PADD 3,3.138
2023-07-17,PADD 4,3.765
2023-07-17,PADD 5,4.5
2023-07-24,PADD 1,3.448
2023-07-24,PADD 2,3.339
2023-07-24,PADD 3,3.243
2023-07-24,PADD 4,3.755
2023-07-24,PADD 5,4.484
2023-07-31,PADD 1,3.613
2023-07-31,PADD 2,3.554
2023-07-31,PADD 3,3.42
2023-07-31,PADD 4,3.873
2023-07-31,PADD 5,4.515
2023-08-07,PADD 1,3.724
2023-08-07,PADD 2,3.622
2023-08-07,PADD 3,3.462
2023-08-07,PADD 4,3.944
2023-08-07,PADD 5,4.587
2023-08-14,PADD 1,3.692
2023-08-14,PADD 2,3.698
2023-08-14,PADD 3,3.439
2023-08-14,PADD 4,3.954
2023-08-14,PADD 5,4.626
2023-08-21,PADD 1,3.708
2023-08-21,PADD 2,3.649
2023-08-21,PADD 3,3.466
2023-08-21,PADD 4,4.039
2023-08-21,PADD 5,4.664
2023-08-28,PADD 1,3.651
2023-08-28,PADD 2,3.563
2023-08-28,PADD 3,3.406
2023-08-28,PADD 4,3.975
2023-08-28,PADD 5,4.684
2023-09-04,PADD 1,3.636
2023-09-04,PADD 2,3.567
2023-09-04,PADD 3,3.39
2023-09-04,PADD 4,3.999
2023-09-04,PADD 5,4.706
2023-09-11,PADD 1,3.599
2023-09-11,PADD 2,3.641
2023-09-11,PADD 3,3.386
2023-09-11,PADD 4,4.013
2023-09-11,PADD 5,4.702
2023-09-18,PADD 1,3.6
2023-09-18,PADD 2,3.675
2023-09-18,PADD 3,3.473
2023-09-18,PADD 4,4.071
2023-09-18,PADD 5,4.75
2023-09-25,PADD 1,3.538
2023-09-25,PADD 2,3.609
2023-09-25,PADD 3,3.393
2023-09-25,PADD 4,3.996
2023-09-25,PADD 5,4.756
2023-10-02,PADD 1,3.473
2023-10-02,PADD 2,3.513
2023-10-02,PADD 3,3.336
2023-10-02,PADD 4,3.92
2023-10-02,PADD 5,4.815
2023-10-09,PADD 1,3.42
2023-10-09,PADD 2,3.398
2023-10-09,PADD 3,3.216
2023-10-09,PADD 4,3.82
2023-10-09,PADD 5,4.698
2023-10-16,PADD 1,3.333
2023-10-16,PADD 2,3.298
2023-10-16,PADD 3,3.073
2023-10-16,PADD 4,3.705
2023-10-16,PADD 5,4.603
2023-10-23,PADD 1,3.273
2023-10-23,PADD 2,3.286
2023-10-23,PADD 3,3.068
2023-10-23,PADD 4,3.691
2023-10-23,PADD 5,4.515
2023-10-30,PADD 1,3.26
2023-10-30,PADD 2,3.225
2023-10-30,PADD 3,3.003
2023-10-30,PADD 4,3.579
2023-10-30,PADD 5,4.415
2023-11-06,PADD 1,3.177
2023-11-06,PADD 2,3.177
2023-11-06,PADD 3,2.916
2023-11-06,PADD 4,3.456
2023-11-06,PADD 5,4.309
2023-11-13,PADD 1,3.16
2023-11-13,PADD 2,3.147
2023-11-13,PADD 3,2.848
2023-11-13,PADD 4,3.422
2023-11-13,PADD 5,4.238
2023-11-20,PADD 1,3.091
2023-11-20,PADD 2,3.082
2023-11-20,PADD 3,2.805
2023-11-20,PADD 4,3.287
2023-11-20,PADD 5,4.144
2023-11-27,PADD 1,3.08
2023-11-27,PADD 2,2.988
2023-11-27,PADD 3,2.739
2023-11-27,PADD 4,3.183
2023-11-27,PADD 5,4.076
2023-12-04,PADD 1,3.173
2023-12-04,PADD 2,2.95
2023-12-04,PADD 3,2.764
2023-12-04,PADD 4,3.092
2023-12-04,PADD 5,3.997
2023-12-11,PADD 1,3.08
2023-12-11,PADD 2,2.861
2023-12-11,PADD 3,2.669
2023-12-11,PADD 4,2.987
2023-12-11,PADD 5,3.926
2023-12-18,PADD 1,3.001
2023-12-18,PADD 2,2.763
2023-12-18,PADD 3,2.603
2023-12-18,PADD 4,2.899
2023-12-18,PADD 5,3.872
2023-12-25,PADD 1,3.097
2023-12-25,PADD 2,2.838
2023-12-25,PADD 3,2.694
2023-12-25,PADD 4,2.928
2023-12-25,PADD 5,3.818
